number,available_bike_stands,available_bikes,last_update
7,26,3,1586174736000
102,35,5,1586174469000
38,12,28,1586174798000
53,38,2,1586174568000
58,22,17,1586174754000
66,18,22,1586174928000
104,35,5,1586175034000
101,28,2,1586174963000
115,11,19,1586175034000
47,33,7,1586174782000
117,26,14,1586174749000
8,26,4,1586174613000
27,11,9,1586175042000
16,15,5,1586174940000
96,20,10,1586174971000
82,19,3,1586174699000
76,30,8,1586175015000
71,33,7,1586174623000
79,12,15,1586174530000
69,16,23,1586174560000
25,28,2,1586174880000
51,38,2,1586174836000
37,12,18,1586174908000
59,14,6,1586174457000
95,17,23,1586175036000
94,29,11,1586175050000
105,28,8,1586174659000
36,39,1,1586174640000
93,33,7,1586174868000
22,19,1,1586174670000
50,34,6,1586174501000
110,32,8,1586174734000
12,17,3,1586174976000
34,22,8,1586175046000
78,17,23,1586174723000
2,20,0,1586174995000
75,34,6,1586174464000
111,36,4,1586174802000
26,16,4,1586174479000
65,29,11,1586174527000
15,15,1,1586174457000
86,28,10,1586174871000
10,0,16,1586174812000
100,15,10,1586174864000
24,14,6,1586174513000
64,34,6,1586174626000
109,11,18,1586174660000
85,34,1,1586174497000
107,36,4,1586174519000
33,1,22,1586174929000
44,21,9,1586174896000
89,22,17,1586174860000
57,18,5,1586174941000
80,26,14,1586175017000
41,13,7,1586174565000
3,15,5,1586174712000
40,4,17,1586175022000
29,11,18,1586174542000
103,39,1,1586174552000
28,30,0,1586174702000
39,18,2,1586174919000
83,17,23,1586175008000
92,16,24,1586174916000
21,15,15,1586175010000
88,11,19,1586174668000
42,10,19,1586258551000
30,15,5,1586258219000
54,25,8,1586258102000
108,28,11,1586258145000
56,26,14,1586258311000
6,20,0,1586258351000
18,19,11,1586258466000
32,22,8,1586258421000
52,16,16,1586258218000
48,28,12,1586258387000
13,24,6,1586258575000
43,20,10,1586258560000
81,20,17,1586258587000
31,6,14,1586258470000
98,30,10,1586258242000
23,17,13,1586258222000
106,31,9,1586258274000
112,21,9,1586258516000
68,19,21,1586258268000
74,19,11,1586258301000
87,20,18,1586258361000
84,25,5,1586258275000
90,23,17,1586258494000
11,17,13,1586258101000
17,19,1,1586258238000
45,18,12,1586258620000
114,33,7,1586258161000
72,27,4,1586258463000
63,14,21,1586258503000
113,33,7,1586258638000
91,15,15,1586258323000
99,30,0,1586258136000
9,14,10,1586258173000
67,30,10,1586258235000
116,22,8,1586258453000
55,28,8,1586258272000
62,34,6,1586258452000
5,28,12,1586258539000
97,31,9,1586258546000
61,15,10,1586258477000
77,15,14,1586258472000
73,26,4,1586258182000
4,9,11,1586258406000
49,30,10,1586258376000
19,18,12,1586258071000
7,17,12,1586258136000
102,32,8,1586258518000
38,11,29,1586258437000
53,37,3,1586258438000
58,22,18,1586258122000
66,19,21,1586258355000
104,35,5,1586258045000
101,23,7,1586258524000
115,10,20,1586258109000
47,36,4,1586258048000
117,27,13,1586258112000
8,19,11,1586258080000
27,11,9,1586258316000
16,17,3,1586258057000
96,23,7,1586258537000
82,18,4,1586258423000
76,34,4,1586258562000
71,32,8,1586258119000
79,15,12,1586258100000
